"NYA.Open","NYA.High","NYA.Low","NYA.Close","NYA.Volume","NYA.Adjusted","Date"
7392.02002,7412.25,7237.720215,7274.160156,4596450000,7274.160156,"2011-11-17"
7274.149902,7329.27002,7256.319824,7282.470215,3827610000,7282.470215,"2011-11-18"
7282.470215,7282.470215,7074.970215,7134.470215,4050070000,7134.470215,"2011-11-21"
7134.470215,7149.25,7062.140137,7094.890137,3911710000,7094.890137,"2011-11-22"
7094.890137,7094.890137,6919.77002,6919.919922,3798940000,6919.919922,"2011-11-23"
6919.919922,6981.75,6898.120117,6898.180176,1664200000,6898.180176,"2011-11-25"
6898.180176,7156.680176,6898.180176,7120.549805,3920750000,7120.549805,"2011-11-28"
7120.549805,7191.959961,7118.330078,7149.709961,3992650000,7149.709961,"2011-11-29"
7149.709961,7485.549805,7149.709961,7484.5,5801910000,7484.5,"2011-11-30"
7484.5,7509.330078,7430.009766,7450.430176,3818680000,7450.430176,"2011-12-01"
7450.430176,7550.299805,7446.390137,7453.549805,4144310000,7453.549805,"2011-12-02"
7453.549805,7596.109863,7453.549805,7531.009766,4148060000,7531.009766,"2011-12-05"
7531.009766,7583.919922,7496.759766,7539.319824,3734230000,7539.319824,"2011-12-06"
7539.319824,7591.209961,7457.490234,7559.709961,4160540000,7559.709961,"2011-12-07"
7559.709961,7559.709961,7353.439941,7369.52002,4298370000,7369.52002,"2011-12-08"
7369.52002,7519.97998,7369.52002,7502.879883,3830610000,7502.879883,"2011-12-09"
7502.879883,7502.879883,7308.540039,7363.490234,0,7363.490234,"2011-12-12"
7363.490234,7441.839844,7236.930176,7277.620117,4121570000,7277.620117,"2011-12-13"
7277.620117,7277.620117,7171.660156,7184.75,4298290000,7184.75,"2011-12-14"
7184.75,7273.939941,7184.75,7217.120117,3810340000,7217.120117,"2011-12-15"
7217.100098,7294.72998,7203.25,7237.660156,5345800000,7237.660156,"2011-12-16"
7237.660156,7237.660156,7129.839844,7142.450195,3659820000,7142.450195,"2011-12-19"
7142.450195,7370.450195,7142.450195,7360.970215,4055590000,7360.970215,"2011-12-20"
7360.970215,7397.160156,7306.189941,7388.52002,3582780000,7388.52002,"2011-12-21"
7388.52002,7468.339844,7388.52002,7460.75,3492250000,7460.75,"2011-12-22"
7460.75,7518.939941,7460.75,7518.660156,2233830000,7518.660156,"2011-12-23"
7518.660156,7529.169922,7494.580078,7508.370117,2130590000,7508.370117,"2011-12-27"
7508.370117,7508.370117,7393.129883,7396.990234,2349980000,7396.990234,"2011-12-28"
7396.990234,7490.240234,7396.990234,7485.629883,2278130000,7485.629883,"2011-12-29"
7485.629883,7506.740234,7475.950195,7477.029785,2271850000,7477.029785,"2011-12-30"
7477.029785,7659.970215,7459.450195,7624.319824,3943710000,7624.319824,"2012-01-03"
