"STOXX50E.Open","STOXX50E.High","STOXX50E.Low","STOXX50E.Close","STOXX50E.Volume","STOXX50E.Adjusted","Date"
5158.120117,5158.120117,5158.120117,5158.120117,0,5158.120117,"2000-08-09"
5182.060059,5182.060059,5182.060059,5182.060059,0,5182.060059,"2000-08-10"
5179.680176,5179.680176,5179.680176,5179.680176,0,5179.680176,"2000-08-11"
5218.589844,5218.589844,5218.589844,5218.589844,0,5218.589844,"2000-08-14"
5203.140137,5203.140137,5203.140137,5203.140137,0,5203.140137,"2000-08-15"
5223.700195,5223.700195,5223.700195,5223.700195,0,5223.700195,"2000-08-16"
5192.060059,5192.060059,5192.060059,5192.060059,0,5192.060059,"2000-08-17"
5180.700195,5180.700195,5180.700195,5180.700195,0,5180.700195,"2000-08-18"
5165.439941,5165.439941,5165.439941,5165.439941,0,5165.439941,"2000-08-21"
5161.419922,5161.419922,5161.419922,5161.419922,0,5161.419922,"2000-08-22"
5160.140137,5160.140137,5160.140137,5160.140137,0,5160.140137,"2000-08-23"
5123.990234,5123.990234,5123.990234,5123.990234,0,5123.990234,"2000-08-24"
5175.649902,5175.649902,5175.649902,5175.649902,0,5175.649902,"2000-08-25"
5204.180176,5204.180176,5204.180176,5204.180176,0,5204.180176,"2000-08-28"
5188.930176,5188.930176,5188.930176,5188.930176,0,5188.930176,"2000-08-29"
5166.910156,5166.910156,5166.910156,5166.910156,0,5166.910156,"2000-08-30"
5175.120117,5175.120117,5175.120117,5175.120117,0,5175.120117,"2000-08-31"
5298.640137,5298.640137,5298.640137,5298.640137,0,5298.640137,"2000-09-01"
5392.629883,5392.629883,5392.629883,5392.629883,0,5392.629883,"2000-09-04"
5326.689941,5326.689941,5326.689941,5326.689941,0,5326.689941,"2000-09-05"
5299.240234,5299.240234,5299.240234,5299.240234,0,5299.240234,"2000-09-06"
5329.060059,5329.060059,5329.060059,5329.060059,0,5329.060059,"2000-09-07"
5229.040039,5229.040039,5229.040039,5229.040039,0,5229.040039,"2000-09-08"
5233.870117,5233.870117,5233.870117,5233.870117,0,5233.870117,"2000-09-11"
5222.370117,5222.370117,5222.370117,5222.370117,0,5222.370117,"2000-09-12"
5153.200195,5153.200195,5153.200195,5153.200195,0,5153.200195,"2000-09-13"
5204.620117,5204.620117,5204.620117,5204.620117,0,5204.620117,"2000-09-14"
5199.140137,5199.140137,5199.140137,5199.140137,0,5199.140137,"2000-09-15"
5129.430176,5129.430176,5129.430176,5129.430176,0,5129.430176,"2000-09-18"
5117.149902,5117.149902,5117.149902,5117.149902,0,5117.149902,"2000-09-19"
5051.399902,5051.399902,5051.399902,5051.399902,0,5051.399902,"2000-09-20"
4941.060059,4941.060059,4941.060059,4941.060059,0,4941.060059,"2000-09-21"
4945.370117,4945.370117,4945.370117,4945.370117,0,4945.370117,"2000-09-22"
4984.290039,4984.290039,4984.290039,4984.290039,0,4984.290039,"2000-09-25"
4934.890137,4934.890137,4934.890137,4934.890137,0,4934.890137,"2000-09-26"
4949.870117,4949.870117,4949.870117,4949.870117,0,4949.870117,"2000-09-27"
4934.080078,4934.080078,4934.080078,4934.080078,0,4934.080078,"2000-09-28"
4915.180176,4915.180176,4915.180176,4915.180176,0,4915.180176,"2000-09-29"
4961.879883,4961.879883,4961.879883,4961.879883,0,4961.879883,"2000-10-02"
5003.459961,5003.459961,5003.459961,5003.459961,0,5003.459961,"2000-10-03"
4959.410156,4959.410156,4959.410156,4959.410156,0,4959.410156,"2000-10-04"
4997.25,4997.25,4997.25,4997.25,0,4997.25,"2000-10-05"
4958.370117,4958.370117,4958.370117,4958.370117,0,4958.370117,"2000-10-06"
4844.439941,4844.439941,4844.439941,4844.439941,0,4844.439941,"2000-10-09"
4867.330078,4867.330078,4867.330078,4867.330078,0,4867.330078,"2000-10-10"
4743.470215,4743.470215,4743.470215,4743.470215,0,4743.470215,"2000-10-11"
4747.870117,4747.870117,4747.870117,4747.870117,0,4747.870117,"2000-10-12"
4782.740234,4782.740234,4782.740234,4782.740234,0,4782.740234,"2000-10-13"
4793.140137,4793.140137,4793.140137,4793.140137,0,4793.140137,"2000-10-16"
4760.919922,4760.919922,4760.919922,4760.919922,0,4760.919922,"2000-10-17"
4658.850098,4658.850098,4658.850098,4658.850098,0,4658.850098,"2000-10-18"
4836.859863,4836.859863,4836.859863,4836.859863,0,4836.859863,"2000-10-19"
4889.509766,4889.509766,4889.509766,4889.509766,0,4889.509766,"2000-10-20"
4906.669922,4906.669922,4906.669922,4906.669922,0,4906.669922,"2000-10-23"
5031.029785,5031.029785,5031.029785,5031.029785,0,5031.029785,"2000-10-24"
4977.069824,4977.069824,4977.069824,4977.069824,0,4977.069824,"2000-10-25"
4926.359863,4926.359863,4926.359863,4926.359863,0,4926.359863,"2000-10-26"
4965.919922,4965.919922,4965.919922,4965.919922,0,4965.919922,"2000-10-27"
4981.379883,4981.379883,4981.379883,4981.379883,0,4981.379883,"2000-10-30"
5057.459961,5057.459961,5057.459961,5057.459961,0,5057.459961,"2000-10-31"
5085.470215,5085.470215,5085.470215,5085.470215,0,5085.470215,"2000-11-01"
5092.629883,5092.629883,5092.629883,5092.629883,0,5092.629883,"2000-11-02"
5101.399902,5101.399902,5101.399902,5101.399902,0,5101.399902,"2000-11-03"
5091.25,5091.25,5091.25,5091.25,0,5091.25,"2000-11-06"
5076.799805,5076.799805,5076.799805,5076.799805,0,5076.799805,"2000-11-07"
5055.049805,5055.049805,5055.049805,5055.049805,0,5055.049805,"2000-11-08"
5017.689941,5017.689941,5017.689941,5017.689941,0,5017.689941,"2000-11-09"
4934.470215,4934.470215,4934.470215,4934.470215,0,4934.470215,"2000-11-10"
4847.459961,4847.459961,4847.459961,4847.459961,0,4847.459961,"2000-11-13"
5011.120117,5011.120117,5011.120117,5011.120117,0,5011.120117,"2000-11-14"
5053.47998,5053.47998,5053.47998,5053.47998,0,5053.47998,"2000-11-15"
5010.649902,5010.649902,5010.649902,5010.649902,0,5010.649902,"2000-11-16"
4961.540039,4961.540039,4961.540039,4961.540039,0,4961.540039,"2000-11-17"
4849.330078,4849.330078,4849.330078,4849.330078,0,4849.330078,"2000-11-20"
4893.950195,4893.950195,4893.950195,4893.950195,0,4893.950195,"2000-11-21"
4783.350098,4783.350098,4783.350098,4783.350098,0,4783.350098,"2000-11-22"
4837.47998,4837.47998,4837.47998,4837.47998,0,4837.47998,"2000-11-23"
4940.220215,4940.220215,4940.220215,4940.220215,0,4940.220215,"2000-11-24"
4945.339844,4945.339844,4945.339844,4945.339844,0,4945.339844,"2000-11-27"
4893.459961,4893.459961,4893.459961,4893.459961,0,4893.459961,"2000-11-28"
4907.609863,4907.609863,4907.609863,4907.609863,0,4907.609863,"2000-11-29"
4781.430176,4781.430176,4781.430176,4781.430176,0,4781.430176,"2000-11-30"
4839.27002,4839.27002,4839.27002,4839.27002,0,4839.27002,"2000-12-01"
4734.720215,4734.720215,4734.720215,4734.720215,0,4734.720215,"2000-12-04"
4911.930176,4911.930176,4911.930176,4911.930176,0,4911.930176,"2000-12-05"
4869.47998,4869.47998,4869.47998,4869.47998,0,4869.47998,"2000-12-06"
4900.600098,4900.600098,4900.600098,4900.600098,0,4900.600098,"2000-12-07"
4889.720215,4889.720215,4889.720215,4889.720215,0,4889.720215,"2000-12-08"
4970.660156,4970.660156,4970.660156,4970.660156,0,4970.660156,"2000-12-11"
4947.720215,4947.720215,4947.720215,4947.720215,0,4947.720215,"2000-12-12"
4890.160156,4890.160156,4890.160156,4890.160156,0,4890.160156,"2000-12-13"
4810.939941,4810.939941,4810.939941,4810.939941,0,4810.939941,"2000-12-14"
4718,4718,4718,4718,0,4718,"2000-12-15"
4744.259766,4744.259766,4744.259766,4744.259766,0,4744.259766,"2000-12-18"
4814.640137,4814.640137,4814.640137,4814.640137,0,4814.640137,"2000-12-19"
4641.149902,4641.149902,4641.149902,4641.149902,0,4641.149902,"2000-12-20"
4614.240234,4614.240234,4614.240234,4614.240234,0,4614.240234,"2000-12-21"
4655.870117,4655.870117,4655.870117,4655.870117,0,4655.870117,"2000-12-22"
NA,NA,NA,NA,NA,NA,"2000-12-25"
NA,NA,NA,NA,NA,NA,"2000-12-26"
4721.490234,4721.490234,4721.490234,4721.490234,0,4721.490234,"2000-12-27"
4770.899902,4770.899902,4770.899902,4770.899902,0,4770.899902,"2000-12-28"
4772.390137,4772.390137,4772.390137,4772.390137,0,4772.390137,"2000-12-29"
NA,NA,NA,NA,NA,NA,"2001-01-01"
4701.680176,4701.680176,4701.680176,4701.680176,0,4701.680176,"2001-01-02"
4660.47998,4660.47998,4660.47998,4660.47998,0,4660.47998,"2001-01-03"
4752.709961,4752.709961,4752.709961,4752.709961,0,4752.709961,"2001-01-04"
4734.47998,4734.47998,4734.47998,4734.47998,0,4734.47998,"2001-01-05"
4711.310059,4711.310059,4711.310059,4711.310059,0,4711.310059,"2001-01-08"
4641.790039,4641.790039,4641.790039,4641.790039,0,4641.790039,"2001-01-09"
4598.819824,4598.819824,4598.819824,4598.819824,0,4598.819824,"2001-01-10"
4686.879883,4686.879883,4686.879883,4686.879883,0,4686.879883,"2001-01-11"
4737.950195,4737.950195,4737.950195,4737.950195,0,4737.950195,"2001-01-12"
4763.529785,4763.529785,4763.529785,4763.529785,0,4763.529785,"2001-01-15"
4693.819824,4693.819824,4693.819824,4693.819824,0,4693.819824,"2001-01-16"
4787.450195,4787.450195,4787.450195,4787.450195,0,4787.450195,"2001-01-17"
4754.970215,4754.970215,4754.970215,4754.970215,0,4754.970215,"2001-01-18"
4720.029785,4720.029785,4720.029785,4720.029785,0,4720.029785,"2001-01-19"
4743.390137,4743.390137,4743.390137,4743.390137,0,4743.390137,"2001-01-22"
4743.930176,4743.930176,4743.930176,4743.930176,0,4743.930176,"2001-01-23"
4773.259766,4773.259766,4773.259766,4773.259766,0,4773.259766,"2001-01-24"
4779.350098,4779.350098,4779.350098,4779.350098,0,4779.350098,"2001-01-25"
4760.200195,4760.200195,4760.200195,4760.200195,0,4760.200195,"2001-01-26"
4757.089844,4757.089844,4757.089844,4757.089844,0,4757.089844,"2001-01-29"
4726.649902,4726.649902,4726.649902,4726.649902,0,4726.649902,"2001-01-30"
4779.899902,4779.899902,4779.899902,4779.899902,0,4779.899902,"2001-01-31"
