"GSPTSE.Open","GSPTSE.High","GSPTSE.Low","GSPTSE.Close","GSPTSE.Volume","GSPTSE.Adjusted","Date"
9029.799805,9283.299805,9007.299805,9279,112175700,9279,"2000-12-05"
9305.799805,9366.400391,9222.900391,9230.599609,103811100,9230.599609,"2000-12-06"
9138.099609,9186.200195,9129.799805,9166.799805,92888900,9166.799805,"2000-12-07"
9344.799805,9566.400391,9328,9548.700195,168029100,9548.700195,"2000-12-08"
9485,9661.5,9485,9581.900391,102689300,9581.900391,"2000-12-11"
9499.700195,9512,9332.900391,9343,98646800,9343,"2000-12-12"
9280.400391,9280.400391,9085.200195,9098.099609,198804000,9098.099609,"2000-12-13"
9100.700195,9143.099609,9009.299805,9069.400391,117546200,9069.400391,"2000-12-14"
8943,9088.200195,8886.700195,9020,118394900,9020,"2000-12-15"
9122.599609,9122.599609,8963.299805,9008.599609,82929400,9008.599609,"2000-12-18"
8986.599609,9088.400391,8870.5,8886.400391,109719500,8886.400391,"2000-12-19"
8669.599609,8763.900391,8573.400391,8642.5,163780000,8642.5,"2000-12-20"
8606.900391,8700.599609,8561.900391,8599.700195,110804300,8599.700195,"2000-12-21"
8705.400391,8769.900391,8657.700195,8769.900391,70860500,8769.900391,"2000-12-22"
NA,NA,NA,NA,NA,NA,"2000-12-25"
8769.900391,8769.900391,8769.900391,8769.900391,0,8769.900391,"2000-12-26"
8668.200195,8857.099609,8666,8857.099609,59909900,8857.099609,"2000-12-27"
8817.5,8907.599609,8810.5,8876.099609,68608800,8876.099609,"2000-12-28"
8878.299805,8998.299805,8861.700195,8933.700195,49092700,8933.700195,"2000-12-29"
NA,NA,NA,NA,NA,NA,"2001-01-01"
8961.799805,8961.799805,8611.5,8611.5,69042300,8611.5,"2001-01-02"
8582.299805,8937.799805,8487.700195,8937.799805,116327600,8937.799805,"2001-01-03"
8948.299805,8965.400391,8893.900391,8905.700195,130402800,8905.700195,"2001-01-04"
8838.299805,8863.099609,8690.200195,8690.200195,93476000,8690.200195,"2001-01-05"
8681.599609,8683.400391,8577.200195,8671.700195,80755800,8671.700195,"2001-01-08"
8610.099609,8649.700195,8560.900391,8572,85123400,8572,"2001-01-09"
8474.299805,8600.799805,8474.299805,8600.799805,124234800,8600.799805,"2001-01-10"
8546,8810.799805,8546,8805.400391,126165000,8805.400391,"2001-01-11"
8782.099609,8802.400391,8716.099609,8716.400391,97931900,8716.400391,"2001-01-12"
8716.400391,8778.5,8702,8778.5,836400,8778.5,"2001-01-15"
8734.200195,8744,8694.700195,8744,85304200,8744,"2001-01-16"
8880.099609,8940,8855.700195,8879.400391,104107200,8879.400391,"2001-01-17"
8882.200195,8990.599609,8879.700195,8899.099609,136631900,8899.099609,"2001-01-18"
9070.700195,9161.099609,8959.099609,9161.099609,104997300,9161.099609,"2001-01-19"
9068.900391,9167.200195,9068.900391,9121,92865000,9121,"2001-01-22"
9131.400391,9279.400391,9107.5,9268.799805,105714600,9268.799805,"2001-01-23"
9301.200195,9316.299805,9277.5,9306.200195,96981000,9306.200195,"2001-01-24"
9253.700195,9270.799805,9183.400391,9183.400391,97844800,9183.400391,"2001-01-25"
9076.599609,9186.5,9076.5,9158.200195,101066900,9158.200195,"2001-01-26"
9158.700195,9317.599609,9158.700195,9302.200195,83123300,9302.200195,"2001-01-29"
9249.299805,9348.400391,9221.900391,9348.400391,118163900,9348.400391,"2001-01-30"
9356.900391,9425.5,9321.900391,9321.900391,99130900,9321.900391,"2001-01-31"
9276.400391,9334.200195,9245.5,9287.700195,111433600,9287.700195,"2001-02-01"
9314.700195,9314.700195,9223,9224.099609,99900400,9224.099609,"2001-02-02"
9228,9306.099609,9200.099609,9306.099609,87207000,9306.099609,"2001-02-05"
9341.299805,9367.799805,9293.599609,9301.400391,103484800,9301.400391,"2001-02-06"
9213.799805,9221.900391,9067,9137.599609,121198700,9137.599609,"2001-02-07"
9169.900391,9191.299805,9080.700195,9080.700195,115101200,9080.700195,"2001-02-08"
9016.900391,9021.5,8933.700195,8957.599609,106633000,8957.599609,"2001-02-09"
8967,9021.5,8954.299805,8999.900391,100906900,8999.900391,"2001-02-12"
9115,9133.400391,8942.099609,8942.099609,115413900,8942.099609,"2001-02-13"
8883,8911.5,8814,8911.5,115530900,8911.5,"2001-02-14"
9008.200195,9039,8924.5,8967.299805,117052300,8967.299805,"2001-02-15"
8342.099609,8405.5,8342.099609,8393.200195,132569700,8393.200195,"2001-02-16"
8393.200195,8463,8388.299805,8459.700195,1205400,8459.700195,"2001-02-19"
8408.900391,8408.900391,8232.099609,8236.700195,99560300,8236.700195,"2001-02-20"
8178,8178,8016.799805,8060.799805,133057600,8060.799805,"2001-02-21"
8000,8136.5,7913.799805,8133.299805,133798300,8133.299805,"2001-02-22"
8068,8083.100098,7951.200195,8028.799805,120526500,8028.799805,"2001-02-23"
8077.5,8140.799805,8026.100098,8140.799805,83582900,8140.799805,"2001-02-26"
8100.5,8153.600098,8065.700195,8065.700195,80542400,8065.700195,"2001-02-27"
8055.399902,8079.100098,7974.299805,8078.700195,94814500,8078.700195,"2001-02-28"
8033.100098,8103.799805,8009.5,8103.799805,122168300,8103.799805,"2001-03-01"
8016.700195,8123.200195,7995.899902,8006.899902,142803200,8006.899902,"2001-03-02"
8052.5,8101.600098,8052.5,8099.299805,107459900,8099.299805,"2001-03-05"
